                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 0.5409,                0.49724,                 1.0548,                 0.8651,                0.82609,                0.92186,                0.67137,                 1.1592,                0.79365,                 1.5801,              0.0010991,              0.0010991,              0.0010991
                     93,                0.56817,                0.48326,                 1.0497,                0.90701,                0.91304,                0.95369,                0.63146,                   1.15,                0.65465,                 1.6519,              0.0010892,              0.0010892,              0.0010892
                     94,                0.57777,                0.51769,                 1.0695,                0.86894,                0.91304,                0.95767,                0.64078,                 1.1632,                0.63154,                  1.665,              0.0010793,              0.0010793,              0.0010793
                     95,                0.60374,                0.51884,                 1.0958,                      1,                0.82512,                0.93017,                0.65216,                 1.1122,                0.67086,                 1.6209,              0.0010694,              0.0010694,              0.0010694
                     96,                 0.5864,                0.50041,                 1.0984,                0.98015,                0.82609,                0.92512,                0.65365,                 1.1033,                0.67127,                 1.6368,              0.0010595,              0.0010595,              0.0010595
                     97,                0.55719,                 0.4711,                 1.0814,                0.94957,                0.81902,                0.90829,                0.64689,                 1.1556,                0.70443,                 1.7244,              0.0010496,              0.0010496,              0.0010496
                     98,                0.59434,                0.52987,                  1.103,                0.84147,                0.91304,                0.90289,                 0.6375,                 1.2069,                0.75802,                 1.7859,              0.0010397,              0.0010397,              0.0010397
                     99,                0.59244,                0.51738,                  1.102,                0.95289,                0.91304,                0.90667,                0.63746,                 1.1621,                0.69807,                 1.6809,              0.0010298,              0.0010298,              0.0010298
                    100,                0.58191,                0.52171,                 1.1004,                0.87111,                0.91304,                0.90575,                0.63618,                 1.1416,                0.68901,                 1.6817,              0.0010199,              0.0010199,              0.0010199
                    101,                0.61026,                0.54052,                 1.1231,                0.90701,                0.91304,                0.93292,                0.69164,                 1.0804,                0.66643,                 1.6458,                0.00101,                0.00101,                0.00101
                    102,                0.56938,                0.48111,                  1.082,                0.91096,                0.91304,                0.93001,                0.67558,                 1.0724,                0.64951,                 1.6549,              0.0010001,              0.0010001,              0.0010001
                    103,                0.54234,                0.47861,                 1.0413,                0.90483,                0.82674,                0.92619,                0.66572,                 1.0564,                0.69178,                 1.5672,              0.0009902,              0.0009902,              0.0009902
                    104,                0.63029,                0.51831,                 1.0827,                0.90822,                0.86957,                0.93194,                0.66627,                 1.1043,                0.72759,                 1.5683,              0.0009803,              0.0009803,              0.0009803
                    105,                 0.5861,                0.49388,                 1.0972,                0.91235,                0.90545,                 0.9278,                0.68519,                 1.0704,                0.61712,                 1.5407,              0.0009704,              0.0009704,              0.0009704
                    106,                0.59686,                0.51827,                 1.0885,                0.86795,                0.91304,                0.90599,                0.67131,                 1.0587,                 0.7181,                 1.5617,              0.0009605,              0.0009605,              0.0009605
                    107,                0.55873,                0.48058,                 1.0772,                0.87066,                0.91304,                0.89539,                0.66548,                 1.0908,                0.74918,                 1.5813,              0.0009506,              0.0009506,              0.0009506
                    108,                0.55171,                0.47588,                 1.0569,                0.91221,                 0.9039,                 0.8874,                0.65081,                 1.0553,                0.77243,                 1.5433,              0.0009407,              0.0009407,              0.0009407
                    109,                0.54481,                0.50121,                 1.0633,                0.83682,                0.91304,                0.88918,                0.65046,                 1.0192,                0.75215,                 1.5515,              0.0009308,              0.0009308,              0.0009308
                    110,                0.57517,                0.52045,                 1.0808,                0.90395,                0.86957,                0.90604,                0.67659,                0.99857,                0.78524,                 1.5512,              0.0009209,              0.0009209,              0.0009209
                    111,                 0.5545,                0.49295,                  1.087,                 0.9084,                0.86957,                0.91225,                0.69644,                0.97393,                0.81056,                 1.5334,               0.000911,               0.000911,               0.000911
                    112,                0.55684,                0.49876,                 1.0711,                0.87469,                0.91053,                0.88865,                0.68958,                 0.9492,                0.82237,                 1.5069,              0.0009011,              0.0009011,              0.0009011
                    113,                 0.5636,                0.47124,                 1.0867,                0.90874,                0.91304,                0.90483,                0.68765,                0.92877,                0.82832,                 1.3852,              0.0008912,              0.0008912,              0.0008912
                    114,                0.51303,                0.44313,                 1.0253,                0.85637,                0.86957,                0.88544,                0.69967,                 0.9098,                0.76318,                 1.3648,              0.0008813,              0.0008813,              0.0008813
                    115,                0.50644,                0.42827,                 1.0263,                0.90888,                0.86957,                0.90837,                0.66699,                 1.0179,                0.73219,                 1.5372,              0.0008714,              0.0008714,              0.0008714
